"","x","y","z"
"codex_972",1138,500,9
"codex_973",1155,805,6
"codex_974",1165,103,10
"codex_975",1153,833,10
"codex_976",1137,963,7
"codex_977",1169,5,9
"codex_978",1152,612,11
"codex_979",1154,869,9
"codex_980",1151,729,9
"codex_981",1166,414,8
"codex_982",1162,538,9
"codex_983",1167,191,8
"codex_984",1171,382,11
"codex_985",1164,480,8
"codex_986",1173,345,10
"codex_987",1176,253,8
"codex_988",1181,53,9
"codex_989",1162,673,9
"codex_990",1162,756,6
"codex_991",1150,998,9
"codex_992",1185,166,9
"codex_993",1172,599,8
"codex_994",1158,916,6
"codex_995",1178,510,7
"codex_996",1160,778,11
"codex_997",1166,964,10
"codex_998",1184,460,10
"codex_999",1182,491,6
"codex_1000",1174,566,8
"codex_1001",1193,117,9
"codex_1002",1192,330,11
"codex_1003",1186,676,11
"codex_1004",1186,803,8
"codex_1005",1184,941,7
"codex_1006",1200,357,8
"codex_1007",1209,127,8
"codex_1008",1199,753,9
"codex_1009",1193,624,7
"codex_1010",1181,964,8
"codex_1011",1196,594,10
"codex_1012",1216,64,9
"codex_1013",1197,786,10
"codex_1014",1196,998,7
"codex_1015",1219,16,9
"codex_1016",1198,413,10
"codex_1017",1217,251,10
"codex_1018",1175,906,9
"codex_1019",1190,820,7
"codex_1020",1223,430,9
"codex_1021",1221,133,9
"codex_1022",1216,475,9
"codex_1023",1209,543,9
"codex_1024",1221,169,10
"codex_1025",1222,215,7
"codex_1026",1228,282,8
"codex_1027",1226,328,10
"codex_1028",1223,598,8
"codex_1029",1219,513,6
"codex_1030",1211,882,8
"codex_1031",1209,806,9
"codex_1032",1219,615,8
"codex_1033",1244,232,10
"codex_1034",1224,732,10
"codex_1035",1234,752,9
"codex_1036",1231,527,8
"codex_1037",1234,952,9
"codex_1038",1232,992,11
"codex_1039",1237,646,10
"codex_1040",1247,198,9
"codex_1041",1248,254,9
"codex_1042",1257,50,9
"codex_1043",1247,300,8
"codex_1044",1243,505,7
"codex_1045",1259,70,9
"codex_1046",1241,777,7
"codex_1047",1260,170,10
"codex_1048",1264,5,8
"codex_1049",1248,400,9
"codex_1050",1259,349,7
"codex_1051",1252,608,9
"codex_1052",1230,928,6
"codex_1053",1242,532,10
"codex_1054",1255,479,9
"codex_1055",1262,368,10
"codex_1056",1243,856,7
"codex_1057",1242,883,9
"codex_1058",1270,146,8
"codex_1059",1271,214,9
"codex_1060",1252,910,8
"codex_1061",1271,323,9
"codex_1062",1260,756,8
"codex_1063",1279,33,11
"codex_1064",1259,842,9
"codex_1065",1276,397,8
"codex_1066",1276,460,10
"codex_1067",1269,565,9
"codex_1068",1251,971,8
"codex_1069",1287,159,10
"codex_1070",1281,350,7
"codex_1071",1286,189,7
"codex_1072",1271,543,8
"codex_1073",1274,422,7
"codex_1074",1267,730,10
"codex_1075",1269,668,9
"codex_1076",1264,696,8
"codex_1077",1288,655,7
"codex_1078",1274,812,9
"codex_1079",1272,629,11
"codex_1080",1253,930,11
"codex_1081",1289,458,8
"codex_1082",1285,499,11
"codex_1083",1299,287,9
"codex_1084",1287,867,7
"codex_1085",1307,67,8
"codex_1086",1306,107,8
"codex_1087",1301,362,10
"codex_1088",1281,789,7
"codex_1089",1300,135,8
"codex_1090",1297,241,8
"codex_1091",1283,980,8
"codex_1092",1313,179,9
"codex_1093",1296,833,8
"codex_1094",1313,325,8
"codex_1095",1310,502,10
"codex_1096",1296,850,9
"codex_1097",1293,912,8
"codex_1098",1304,553,9
"codex_1099",1293,926,10
"codex_1100",1318,358,8
"codex_1101",1316,409,9
"codex_1102",1313,692,9
"codex_1103",1297,522,11
"codex_1104",1321,147,10
"codex_1105",1277,953,9
"codex_1106",1292,741,8
"codex_1107",1308,660,9
"codex_1108",1315,624,10
"codex_1109",1322,290,10
"codex_1110",1328,212,9
"codex_1111",1320,488,8
"codex_1112",1312,756,9
"codex_1113",1322,539,8
"codex_1114",1297,936,7
"codex_1115",1332,115,9
"codex_1116",1339,47,9
"codex_1117",1322,716,9
"codex_1118",1330,814,10
"codex_1119",1314,766,8
"codex_1120",1322,979,9
"codex_1121",1316,991,9
"codex_1122",1329,929,8
"codex_1123",1342,470,9
"codex_1124",1336,646,7
"codex_1125",1341,842,9
"codex_1126",1336,791,11
"codex_1127",1331,1005,8
"codex_1128",17,1046,9
